user_id,coach_name,known_for,include
1258257,Tim Gummer,bit in that,FALSE
1424151,Michael Thomas,bit in that,FALSE
1006405,Tom Marshall,bit in that,FALSE
2813788,Bit In That,bit in that,FALSE
1922154,Matt Mottram,2022 Winner,TRUE
1100050,Roy,The Traders,TRUE
1000010,Warney,The Traders,TRUE
1100064,Calvin,The Traders,TRUE
2,The Traders,The Traders,TRUE
2537626,Dejan,Some guy who works behind the scenes Warney describes as a nerd,TRUE
1111760,Fantasy Freako,Chamption Data,FALSE
1134396,DC,Hat Chat,TRUE
1808282,Nathan,Hat Chat,TRUE
1385283,Jake,Hat Chat,TRUE
1449397,Sanch,Hat Chat,TRUE
2650072,Mrs DC,Hat Chat,FALSE
2125478,Mitch,Ball Boys,TRUE
1532324,Luke,Ball Boys,TRUE
1373578,Jeppa,Plus Six Podcast,TRUE
1122693,Guesty,AFL Fantasy Fanatics,TRUE
2255419,Bails,AFL Fantasy Fanatics,TRUE
1857234,MiniMonk,Coaches Panel,TRUE
1250074,Dossy,PodPod,TRUE
2321224,Holmesy,PodPod,TRUE
1150154,Harmey,PodPod,TRUE
1570030,Lewy,PodPod,TRUE
1111472,The Statesman,PodPod,FALSE
1961516,Alex Witherdon,AFL Fantasy Ambassador,FALSE
2774078,Luke Jackson,AFL Fantasy Ambassador,FALSE
1281872,Leatherheads Footy,Leatherheads Footy (inactive),FALSE
1557670,Marcus Rose,"Is this actually their ""official"" page",FALSE
1759244,Jaiden Popowski,Stats By Jaiden,TRUE
1199356,DT Lemon,DT Talk,TRUE
2238095,Nug,Breakeven Podcast,FALSE
1519911,Millar,Breakeven Podcast,FALSE
1564098,Cara,AFLFantasyPerth,FALSE
2241906,Bindy,Appears on podcasts recently,FALSE
1519605,Levi,A guy in the community who has done well for a few seasons,FALSE
1209447,Keebs,Cousins AFL Fantasy,FALSE
1454648,Jaydos,Cousins AFL Fantasy,FALSE
1475876,Benji's Bashers,Seems uniquely skilled at high value teams,FALSE
1530082,Dyl Smith,Fantasy People,FALSE
1978990,Drama Llama,Twitter person,FALSE
1109522,Vams,Twitter person,TRUE
1001077,Jackson Davey,Fantasy Take TV,FALSE
1564642,Jords,Fantasy Take TV,FALSE
2369448,Eno,Fantasy Take TV,FALSE
1114294,Fry,Sports By Fry,TRUE
2318494,Ky Broome,Ky Broome Sports Fantasy,TRUE
2673766,Darren Carr,Wise Ocean PODs,TRUE
2070408,The Wongster,Moreira's Magic,FALSE
1120564,Hazy,,FALSE
1109415,Rids,Coaches Panel,FALSE
1000056,MJ,Coaches Panel,FALSE
1239172,Moreiras Magic,Moreira's Magic,FALSE
1153938,Drew Jones,Fox Footy Journo,FALSE
1844986,Xavier Ellis,Moreira's Magic,FALSE
2921570,Max King,AFL Fantasy Ambassador,FALSE
2926560,Tom Green,AFL Fantasy Ambassador,FALSE
2340926,Colby Mckercher,AFL Fantasy Ambassador,FALSE
