player_id,AwayAvg
250365,98.5
260257,62
261224,112
270917,68
280109,29.5
280506,82
280965,73
281078,38
290307,79
290314,51
290528,63
290757,34
290778,84
290799,142
290826,55
290838,66
291313,65.5
291351,59
291533,43
291548,57
291720,45
291783,78
291800,9
291849,44
291902,80
291969,59
291975,102
293222,83
293535,37
293738,6
293801,64
293813,41
293845,50
293871,76
293884,54
293957,82
294036,101
294305,115.5
294318,98.5
294469,55.5
294508,67.5
294592,94
294596,35.5
294613,99
294643,21
294674,53.5
294685,49
294859,64
295067,13
295136,103
295203,62
295222,51
295265,67
295340,77
295342,99
295344,96.5
295446,56.5
295461,72
295467,109
295518,56
295584,25
295898,102
296205,77
296225,48.5
296254,58.5
296294,92
296324,68
296347,88.5
296355,69.5
296359,97
296420,85
296422,87
296733,80.5
297255,52
297354,99
297401,131
297456,45.5
297504,52.5
297523,74
297566,81
297899,88
298111,84
298174,83
298210,89
298211,66
298264,66
298268,68
298272,104.5
298281,40
298288,59.5
298409,43
298421,44
298437,46
298524,63
298539,79
298630,41
990290,44
990291,118
990704,102
990740,52
990882,78
991930,57
991939,26
991988,34
992010,53
992016,96
992049,93
992059,25
992128,45
992242,134
992330,94
992351,83
992468,64
993107,101
993794,62
993816,44
993820,49
993832,86
993834,130
993903,68.5
993917,70.5
993940,71
993946,132
993953,27
993979,47.5
993993,64
993998,121
994077,50.5
994185,70
994295,60
994385,52
994386,93
994389,90
996059,19
996701,114
996708,63
996765,69
997033,30.5
997078,82
997100,44
997142,56
997230,60
997846,32
997933,20
998102,106
998103,45
998114,85
998130,69
998133,104
998134,66
998172,77
998180,51.5
998205,66.5
998260,52.5
998390,68
998484,76
998529,26
998647,55
998659,68
998782,59
999321,69
999326,49
999331,82
999391,76
1000072,91.5
1000223,92
1000860,81.5
1000864,60
1000937,62
1000953,65
1000958,68
1000963,65.5
1000972,56
1000978,60
1000980,87.5
1000981,70.5
1001017,69.5
1001026,26
1001028,93
1001195,70
1001299,98
1001396,28
1001398,94
1001438,21
1002138,56
1002143,42
1002220,54
1002222,49
1002227,56
1002228,46
1002232,102.5
1002235,36
1002239,97
1002251,43.5
1002253,74.5
1002264,16
1002267,77
1002282,42
1002312,68
1002347,30
1002401,50
1002403,67.5
1002404,47
1002947,62
1003130,57
1003203,59
1004095,46
1004364,78
1004385,36
1004530,42
1004592,99
1004757,51.5
1004848,42
1004863,74
1004870,73
1004912,132
1004938,92.5
1004965,103
1005000,38
1005053,58
1005054,86.5
1005144,83.5
1005247,53.5
1005326,56.5
1005330,117
1005521,85
1005577,88
1005992,66
1006013,41
1006028,86
1006058,63
1006094,84
1006096,103
1006103,146
1006114,36
1006126,78
1006127,42
1006130,112
1006133,62.5
1006135,39.5
1006136,82
1006144,87.5
1006148,56.5
1006152,84.5
1006232,44
1006314,59.5
1006550,21
1007099,46
1007102,58
1007124,75
1007881,46.5
1008083,64.5
1008089,52.5
1008091,56
1008139,76
1008154,58
1008183,68
1008198,54
1008224,64
1008230,56
1008239,60.5
1008280,89
1008384,91
1008436,86
1008454,65
1008478,61
1008550,102
1008855,59
1008882,30
1008893,30
1009015,56
1009191,87.5
1009199,117
1009208,118.5
1009226,63.5
1009229,69
1009241,35
1009253,81.5
1009260,89
1009378,59
1009380,46
1009386,62
1009399,97.5
1009410,56
1009420,92.5
1009421,48
1009528,97.5
1009708,59.5
1010174,47
1011437,30
1011558,50
1011583,18
1011640,78
1011659,96.5
1011755,72
1011954,81
1011981,84
1011994,62
1012014,129
1012210,95
1012817,63
1012819,46.5
1012825,93
1012829,43
1012857,49.5
1012860,45.5
1013133,64
1013197,25
1013220,92
1013224,31
1013229,78.5
1013257,66
1013278,24.5
1013409,63
1013462,80
1013464,81.5
1013511,42
1013973,69
1013974,26
1014026,4
1014038,66
1015370,72
1015507,113
1015781,39.5
1015810,75
1015862,54
1015873,85
1015889,98
1016433,43.5
1016825,82
1017051,96
1017067,88
1017078,59.5
1017086,64
1017087,35
1017088,57
1017094,29
1017109,101
1017110,101
1017114,44
1017122,48
1017124,51
1017126,99
1017255,26
1017396,35
1017665,53.5
1017700,39
1017720,58
1017754,63
1017939,73
1018123,46
1018424,68
1018425,33
1019038,45
1019938,29.5
1020250,61
1020339,12
1020594,52.5
1020650,40
1020668,30
1020670,53
1020855,82
1020895,109
1020959,41
1020968,39
1021015,44
1021103,48.5
1021152,28.5
1021353,84
1022371,13
1022383,22
1022452,76
1022607,38
1022915,49
1022999,28.5
1023025,58
1023056,39
1023142,89
1023144,33.5
1023167,71
1023261,98
1023266,74.5
1023270,72
1023275,63.5
1023346,37
1023473,44
1023482,78.5
1023486,0
1023492,56
1023495,72
1023496,29
1023500,79.5
1023515,75
1023517,66
1023518,102
1023530,47.5
1023537,62.5
1023542,67.5
1023708,36
1023736,38
1023784,53
1023785,56
1024023,73
1024188,49
1024272,72.5
1024279,56
1024982,35.5
1025034,50.5
1026850,106
1026960,67
1027033,55.5
1027687,25
1027693,35
1027704,63
1027790,59
1027872,40
1027875,97
1027877,61
1027899,57
1027921,1
1027935,54
1028019,38
1028491,54
1028495,51.5
1028513,72
1028521,55.5
1028525,32
1028529,48.5
1028531,80
1028554,51
1028560,84
1028563,93
1029416,74
1031829,47
1032108,70
1032119,14
1032966,64
1034235,22
1035198,29
1036123,125
