player_id,WinAvg
250365,81
260257,49
261224,119
270917,59
280109,67
280506,72
280744,6
280965,97
281078,38
290085,35
290307,79
290314,59
290757,61
290778,75
290799,125
290838,72
291313,56.5
291351,70
291548,71
291753,41
291783,97
291800,95
291849,57
291969,56
291975,102
293222,99.3333333333333
293535,81.6666666666667
293738,11.5
293801,60.5
293813,51
293845,101
293871,88
293957,82
294305,105
294318,98
294469,71
294508,63
294592,70
294596,72.5
294643,21
294674,85
295067,13
295136,114
295203,44
295222,51
295340,107.5
295342,99
295344,97
295446,56.5
295467,133
295584,62.5
296205,
296225,89
296254,54.5
296347,108
296355,57
296420,74
296422,71
296733,68
297354,92.25
297401,91.6666666666667
297456,45.5
297504,93.5
297523,86.6666666666667
297566,78.25
297899,75.5
298174,123
298211,71.5
298272,104.5
298288,60
298409,38
298421,95
298437,60.3333333333333
298524,63
298539,79
990290,44
990291,84.5
990609,45
990740,43.5
990882,54.3333333333333
991930,78
991988,91
992010,64
992016,108
992049,85
992128,67
992242,115
992330,75
992351,76.5
992468,132.5
993107,88.5
993794,72.75
993816,62
993834,117
993903,81
993917,70.5
993946,101.333333333333
993953,53
993979,90
993993,64
993998,81
994077,45.75
994185,70
994295,76
994386,80
994389,124
996059,60.6666666666667
996708,83.5
996765,69
997033,26
997078,95
997100,44
997142,56
997230,67
997846,28.5
998102,35
998103,45
998114,49
998130,69
998133,99
998134,66
998172,89
998180,60
998205,46
998260,64
998390,57.5
998480,55
998484,86
998647,55
998659,70
998782,59
999321,62
999326,61
999331,66.3333333333333
1000072,91.5
1000860,93.5
1000864,68.5
1000937,117
1000963,69
1000972,108
1000978,90.3333333333333
1000980,83.75
1000981,70.5
1001017,64
1001026,72
1001195,97.6666666666667
1001299,145
1001396,50
1001398,93
1002138,68
1002143,41
1002222,49
1002227,68
1002232,110
1002235,50
1002251,57.5
1002253,114
1002264,45
1002267,86
1002312,77.3333333333333
1002347,46.3333333333333
1002401,50
1002403,59
1002404,68
1002947,110
1003130,79
1003203,59
1004095,0
1004530,54.5
1004592,86
1004757,53.5
1004848,15
1004863,83
1004870,93
1004938,94
1004965,90
1005000,59.5
1005053,63
1005054,92
1005144,68.75
1005247,82.5
1005326,98
1005521,85.5
1005577,59
1005992,66
1006013,64
1006028,86
1006058,81
1006096,112
1006103,100
1006126,78
1006127,57
1006130,126
1006133,114
1006135,61
1006136,65.6666666666667
1006144,87.5
1006148,45
1006152,88
1006232,44
1006314,70.75
1007102,49
1007124,83.5
1007881,46.5
1008083,60.5
1008089,49.5
1008091,56
1008139,59
1008198,54
1008224,64
1008230,58.5
1008239,85
1008280,92
1008312,26
1008384,90.3333333333333
1008436,8
1008454,65
1008478,42
1008550,91
1008855,59
1008882,30
1009015,46.5
1009029,35
1009191,86
1009199,117
1009208,118.5
1009226,95
1009229,124
1009253,94
1009260,89
1009317,36.5
1009380,31
1009386,72
1009399,102
1009420,100
1009421,59.25
1009528,104
1009708,41
1010174,103
1011558,50
1011583,55
1011640,62
1011659,98
1011755,57
1011954,67
1011981,81.6666666666667
1011994,70.5
1012014,129
1012210,95
1012817,83
1012819,65
1012829,52
1012857,50
1012860,56
1013133,64
1013197,64
1013201,43
1013220,99
1013224,47
1013229,30
1013257,66
1013278,27
1013409,63
1013462,122
1013464,91
1013974,39
1014026,9
1014038,51
1015323,42
1015370,57.3333333333333
1015507,106.5
1015781,82
1015810,95
1015862,45
1015889,106
1015919,17
1015929,33
1016433,57
1016825,75
1017051,69
1017067,83
1017078,90
1017086,55
1017087,49
1017088,65
1017094,50.6666666666667
1017109,113.666666666667
1017110,87
1017114,28
1017124,81
1017126,82
1017396,35
1017665,53.5
1017754,63
1017939,72.5
1017959,48
1018018,63
1018123,46
1018323,22
1018424,68
1019038,32.5
1019938,108
1020250,61
1020339,12
1020586,5
1020594,75
1020650,53
1020668,17
1020855,70
1020895,95.75
1021015,44
1021103,103
1021152,61
1022607,40.3333333333333
1023056,41
1023144,50
1023261,115.5
1023266,101
1023270,83.5
1023272,68
1023275,59
1023473,61.75
1023482,80
1023500,79.5
1023515,94
1023517,90.3333333333333
1023518,102
1023530,34
1023537,20
1023708,56
1023736,38
1023784,76.5
1024023,61.3333333333333
1024272,60
1024982,42
1025034,81
1026850,73
1026960,67
1027033,55.5
1027687,25
1027704,83
1027790,68.5
1027872,28
1027875,68
1027877,50
1027899,69
1027921,29
1027935,59.5
1028019,52
1028491,68
1028495,33
1028513,75
1028521,62
1028525,16
1028529,49
1028538,63
1028554,40
1028560,72
1028563,60
1029405,50
1031829,57
1032119,28
1032966,48
1034235,24.5
1035198,21
1036123,89
