Team,Icon,Last,LastOpp,Season,SeasonOpp,Last3,Last3Opp,Top3Mid,Top3OppMid,TopRuc,TopOppRuc,Top2Def,Top2OppDef,Top2For,Top2OppFor
Adelaide Crows,ADE,1527,1454,1640,1434,1529,1462,110,99,74,76,84,93,101,88
Brisbane Lions,BRL,1739,1430,1627,1430,1664,1460,113,94,78,80,96,84,78,86
Carlton,CAR,1770,1220,1585,1479,1642,1438,107,101,105,91,83,80,79,84
Collingwood,COLL,1592,1532,1534,1479,1539,1483,104,103,100,96,77,84,92,83
Essendon,ESS,1805,1507,1616,1616,1591,1620,110,106,82,87,97,89,78,96
Fremantle,FRE,1589,1443,1460,1509,1499,1413,98,97,86,89,88,91,91,90
GWS GIANTS,GWS,1628,1415,1567,1411,1621,1363,98,88,84,91,109,93,96,78
Geelong Cats,GEE,1454,1527,1619,1509,1602,1464,105,101,72,93,107,93,104,94
Gold Coast SUNS,GCS,1487,1441,1536,1406,1505,1469,104,98,96,71,98,84,80,87
Hawthorn,HAW,1462,1535,1522,1483,1518,1460,95,105,82,94,93,88,86,82
Melbourne,MEL,1507,1805,1453,1673,1422,1772,96,108,97,83,97,110,79,103
North Melbourne,NTH,1441,1487,1554,1506,1500,1547,105,97,89,78,92,100,109,90
Port Adelaide,PORT,1535,1462,1574,1464,1515,1473,112,91,85,77,89,88,92,89
Richmond,RICH,1443,1589,1423,1713,1473,1659,90,113,93,94,89,99,63,93
St Kilda,STK,1415,1628,1534,1569,1489,1521,99,103,96,88,106,91,103,86
Sydney Swans,SYD,1532,1592,1485,1473,1542,1525,94,101,92,93,98,90,77,83
West Coast Eagles,WCE,1220,1770,1234,1675,1215,1647,82,108,59,97,70,97,87,92
Western Bulldogs,WB,1430,1739,1479,1589,1526,1595,97,103,97,99,82,91,98,91
