af_name,player_id,last_3_avg,value
Zach Merrett,992016,114,
Nic Martin,1026850,83.7,
Nasiah Wanganeen-Milera,1015507,101.3,
Luke Davies-Uniacke,1002267,85,
Tim English,1004592,104.7,
Ollie Wines,294318,92,
Tom Stewart,291800,70.7,
Josh Kelly,296347,91.7,
Tom Liberatore,290799,115.7,
Matt Roberts,1012210,86.3,
Jason Horne-Francis,1011640,87,
Alex Neal-Bullen,296420,56.3,
Lachie Ash,1009253,86,
Harry Himmelberg,993107,100.7,
Matt Flynn,993902,73,
Connor Macdonald,1017094,50.7,
Jack Macrae,295467,116.7,
Oliver Dempsey,1025034,77.7,
Matthew Johnson,1016825,62.3,
Lachie Weller,298524,59.3,
Cam Rayner,1002235,66.3,
Cam Mackenzie,1023482,81.7,
Zac Williams,294685,50,
Lachie Schultz,1000860,98,
Will Hoskin-Elliott,291720,55,
Matthew Cottrell,1008154,63,
Mitch Owens,1023272,61.7,
Sam Powell-Pepper,993979,77.7,
Mitch Knevitt,1021103,48.3,
Nick Holman,297456,45.5,
Darcy Byrne-Jones,991930,58.7,
James Leake,1032119,28,
Xavier Lindsay,1028531,62,
Harvey Langford ,1028546,42.3,
Lucas Camporeale,1022452,53,
Isaac Kako,1028554,45,
Finn O'Sullivan ,1028495,45.3,
Saad El-Hawli,1015919,17,
Levi Ashcroft,1028560,71.3,
Brad Close,999326,62.3,
Max Hall,1020855,58.7,
Murphy Reid ,1028513,59.3,
Sam Lalor ,1028491,67.7,
Sid Draper ,1022607,44.3,
Tom Cochrane,1022371,13,
Christian Moraes,1028563,69,
Tobie Travaglia,1028538,55.5,
Jacob van Rooyen,1017720,44.3,
Lachie Fogarty,1002228,49,
Josh Weddle,1027935,63.7,
Tom Hanily,1027687,46.3,
Tom Gross,1028561,62,
Lachlan Sullivan,998480,58,
Ted Clohesy,1023542,34.3,
Hamish Davis,1032624,19,
Josh Dolan,1034235,23,
Sam Davidson,1036123,83.3,
Will McLachlan,1029405,29.5,
Jacob Konstanty,1023530,43,
Callum M. Brown,1014038,46.7,
Liam O'Connell,1035198,23.7,
Aidan Johnson,1024173,36.5,
Lachie Jones,1011583,40.3,
Joe Berry,1028529,44.7,
Harry Armstrong ,1028525,44.3,
Ashton Moir,1020097,5,
Sam Collins,295446,48.3,
Matthew Owies,1013973,47.7,
Matthew Jefferson,1023486,16.5,
Riley Bice,1008224,94.3,
Luke Trainor,1028521,61.7,
Liam Fawcett,1022383,22,
Archer Reid,1027693,48.3,
Isaac Keeler,1015323,30.3,
Robert Hansen Jr,1023144,37.7,
Matt Whitlock,1028547,36,
Joshua Draper,1020668,26.3,
Harry Boyd,1000958,68,
Jack Henderson,1008183,49,
Isaiah Dudley,1011558,53,
Sandy Brock,1013315,57,
Thomas Edwards,1018323,40,
Will White,1027713,45,
