player_id,HomeAvg
250365,81
260257,65
261224,122.5
270917,76.5
280109,68.5
280317,78
280506,67
280744,6
280824,40
280965,100.5
281085,58
290085,38
290307,58
290314,52
290528,105.5
290757,61
290778,94
290799,108.5
290826,59.5
290838,42.5
291313,41.5
291351,81
291533,66
291548,78
291753,41
291776,32
291783,79
291800,101.5
291849,54.5
291902,76
291969,41
291975,96
293222,107.5
293535,104
293738,17
293801,52
293813,43.5
293845,100.5
293871,88.5
293884,42
293957,82
294036,118
294305,119
294318,88
294469,69.5
294508,68
294592,59.5
294596,73
294613,64.5
294674,79.5
294685,33.5
294859,64
295136,101
295203,55.5
295222,44
295265,62
295340,107.5
295342,73.5
295344,102.5
295446,32
295461,67
295467,133
295518,73
295584,62.5
295898,61.5
296205,
296225,61
296254,50.5
296294,49
296324,117
296347,108
296351,47
296355,64.5
296359,104.5
296420,68.5
296422,71
296733,68
297255,48.5
297354,85.5
297401,72
297504,98
297523,93
297566,75.5
297899,52.5
298174,106.5
298210,87.5
298211,77
298264,95.5
298268,62.5
298272,87
298281,93
298288,56
298409,45.5
298421,75
298437,67.5
298524,52
298539,91.5
990290,44
990291,97.5
990609,45
990704,84
990740,48.5
990827,82
990882,42.5
991773,30
991930,51
991988,91
992010,67
992016,123
992049,91
992128,67
992242,105.5
992330,73
992351,66
992468,132.5
993107,90.5
993794,83.5
993816,70
993820,69
993832,61
993834,110.5
993878,88
993902,73
993903,92
993917,67
993940,47.5
993946,86
993953,66
993979,82.5
993993,57
993998,83
994077,41
994185,41
994295,86
994385,39.5
994386,83
994389,124
996059,81.5
996554,33
996701,96
996708,100
996731,40
996743,54.5
996765,30
997033,60
997078,79
997100,44
997230,55
997316,55
997846,25
997933,64
998102,46.5
998103,60.5
998114,13
998130,69
998133,96.5
998134,66
998172,95.5
998180,41.5
998205,72
998260,73
998390,47
998480,55
998484,71.5
998659,99.5
998782,57
999321,61
999326,63
999331,58.5
999391,82
1000072,82
1000223,71
1000860,94
1000864,48.5
1000937,81.5
1000963,72.5
1000972,85
1000978,105.5
1000980,80
1000981,113
1001017,54.5
1001026,72
1001028,69
1001195,111.5
1001299,114.5
1001396,61
1001398,82.5
1001438,58
1002138,68
1002143,34.5
1002220,41
1002227,68
1002228,49
1002232,98
1002235,57
1002239,91.5
1002251,69
1002253,88
1002264,45
1002267,92.5
1002312,82
1002347,54.5
1002403,65
1002404,61
1002795,37
1002947,99
1003130,82
1004095,0
1004364,43
1004385,44.5
1004530,49
1004592,87
1004757,51
1004848,41
1004863,87.5
1004870,121
1004912,118.5
1004938,97.5
1004965,84
1004985,38.5
1005000,67
1005053,65.5
1005054,99
1005144,54
1005247,76.5
1005326,76
1005330,57.5
1005521,86
1005577,63
1005992,69
1006013,75.5
1006028,88
1006058,61
1006094,89.5
1006096,79.5
1006103,98.5
1006114,76
1006121,94
1006126,70
1006127,49
1006130,126.5
1006133,98.5
1006135,46
1006136,57.5
1006144,45
1006148,33
1006152,87.5
1006232,58.5
1006314,82
1007099,51.5
1007102,58.5
1007124,92
1007881,58
1008083,87
1008089,46.5
1008091,56.5
1008123,74
1008139,65.5
1008154,65.5
1008183,45
1008198,60
1008224,35
1008230,61
1008239,78.5
1008280,93.5
1008312,26
1008384,90
1008436,52
1008454,37
1008478,42
1008550,80
1008855,11
1008893,64.5
1009015,35.5
1009029,35
1009191,99.5
1009199,92
1009208,74
1009226,86.5
1009229,104
1009241,65
1009253,110
1009260,99
1009317,36.5
1009378,87
1009380,62.5
1009386,66.5
1009399,89
1009410,12
1009420,102
1009421,70.5
1009528,121
1009708,34.5
1010174,99.5
1011437,25.5
1011558,56
1011583,51.5
1011640,93.5
1011659,95
1011755,53
1011936,62.5
1011954,69.5
1011981,80.5
1011994,70.5
1012014,79
1012210,92.5
1012817,67
1012819,95.5
1012825,92.5
1012829,52
1012857,50.5
1012860,48
1012881,56
1013133,62.5
1013197,59.5
1013201,27.5
1013220,72
1013224,61
1013229,39
1013257,28
1013278,54
1013409,65.5
1013462,91.5
1013464,103
1013511,37.5
1013973,46
1013974,45.5
1014026,14
1014038,37
1015323,42
1015370,50
1015507,106.5
1015781,65
1015810,77.5
1015862,39
1015873,63
1015889,87
1015919,17
1015929,33
1016433,53
1016825,56
1017051,55.5
1017067,80.5
1017078,69
1017086,50
1017087,62.5
1017088,50.5
1017094,94
1017109,120
1017110,80
1017114,36.5
1017122,33
1017124,60.5
1017126,82.5
1017255,21
1017396,49
1017665,53
1017700,69
1017720,31.5
1017754,55.5
1017939,70.5
1017959,48
1018018,63
1018123,10
1018323,40
1018424,58.5
1019038,33.5
1019938,65.5
1020250,50
1020339,32
1020371,56
1020586,18
1020594,41
1020650,92.5
1020668,31
1020670,34.5
1020855,70
1020895,82.5
1021015,26
1021103,103
1021152,37.5
1021353,49
1022452,30
1022607,41.5
1022999,34
1023025,58
1023056,50.5
1023142,52.5
1023144,42.5
1023167,51.5
1023261,85.5
1023266,94.5
1023270,83.5
1023272,68
1023275,55.5
1023473,79.5
1023482,81.5
1023486,33
1023492,52.5
1023495,50
1023496,26.5
1023500,60
1023515,81
1023517,102.5
1023518,113.5
1023530,44.5
1023537,20
1023542,40
1023625,24
1023708,66
1023736,68
1023784,76.5
1023785,71
1024023,55.5
1024173,36.5
1024272,69.5
1024982,61.5
1025034,92
1026850,72.5
1026960,52
1027033,37
1027687,43.5
1027693,48
1027704,89
1027790,68.5
1027821,55
1027872,28
1027875,68
1027877,73
1027899,47.5
1027921,57
1027935,65
1028019,59
1028491,81.5
1028495,33
1028513,51.5
1028521,68
1028525,42.5
1028529,38.5
1028531,53
1028538,63
1028546,45.5
1028547,36
1028554,42
1028560,66
1028563,57
1029405,50
1029416,66
1031829,63
1032108,15
1032119,42
1032966,32
1034235,25
1035198,21
1036098,71
1036123,56.5
