master,player_af,player_sc,proj_af,proj_sc,team_af,team_sc,cba
Season,Player,Player,Player,Player,Team,Team,Season
Round,Team,Team,Team,Team,Icon,Icon,roundNumber
player_id,Position,Position,Position,Position,Last,Last,matchId
Player,Price,SeasonPriceChange,Price,Price,LastOpp,LastOpp,playerId
squad_id,SeasonPriceChange,Price,PricedAt,PricedAt,Season,Season,name
Team,PriceChg,PriceChg,Breakeven,Breakeven,SeasonOpp,SeasonOpp,TOG
Position,PricedAt,PricedAt,Avg2023,Avg2023,Last3,Last3,AF
af_cost,BreakEven,BreakEven,Avg2024,Avg2024,Last3Opp,Last3Opp,CBA
sc_cost,LastScore,LastScore,L01,L01,Top3Mid,Top3Mid,KI
minutes_played,LastTG,LastTG,L02,L02,Top3OppMid,Top3OppMid,teamName
SC,LastPPM,LastPPM,L03,L03,TopRuc,TopRuc,CBA_PERC
AF,LastCBA,LastCBA,L04,L04,TopOppRuc,TopOppRuc,KI_PERC
matchId,CBAchg,CBAchg,L05,L05,Top2Def,Top2Def,SC
TOG,LastKI,LastKI,LastScore,LastScore,Top2OppDef,Top2OppDef,TeamCBA
CBA,KIchg,KIchg,SeasonAvg,SeasonAvg,Top2For,Top2For,TeamKI
KI,SeasAvg,SeasAvg,Last3Avg,Last3Avg,Top2OppFor,Top2OppFor,
CBA_PERC,SeasTG,SeasTG,Last5Avg,Last5Avg,,,
KI_PERC,SeasPPM,SeasPPM,,,,,
TeamCBA,SeasCBA,SeasCBA,,,,,
TeamKI,SeasKI,SeasKI,,,,,
team.name,Last3Score,Last3Score,,,,,
venue.name,Last3TG,Last3TG,,,,,
result,Last3PPM,Last3PPM,,,,,
sc_OwnershipTotal,Last3CBA,Last3CBA,,,,,
sc_OwnershipTop1000,Last3KI,Last3KI,,,,,
sc_OwnershipTop100,OwnershipTotal,OwnershipTotal,,,,,
sc_OwnershipTop10,OwnershipTop1000,OwnershipTop1000,,,,,
af_OwnershipTotal,OwnershipTop100,OwnershipTop100,,,,,
af_OwnershipTop1000,OwnershipTop10,OwnershipTop10,,,,,
af_OwnershipTop100,OwnershipTop1000Chg,OwnershipTop1000Chg,,,,,
af_OwnershipTop10,OwnershipTop100Chg,OwnershipTop100Chg,,,,,
af_magic_number,OwnershipTop10Chg,OwnershipTop10Chg,,,,,
af_be,WinAvg,WinAvg,,,,,
sc_magic_number,LossAvg,LossAvg,,,,,
sc_be,HomeAvg,HomeAvg,,,,,
next_opp,AwayAvg,AwayAvg,,,,,
af_priced_at,OppLastScore,OppLastScore,,,,,
sc_priced_at,OppLast3Score,OppLast3Score,,,,,
Opposition,OppCareer,OppCareer,,,,,
home_status,ReservesAvg,ReservesAvg,,,,,
,ReservesLast,ReservesLast,,,,,
